Datum;Gemeinde;Geschlecht;Staatsangehoerigkeit;Anzahl;Jahr;Wohnviertel-Name;Wohnviertel-ID
31. Dezember 1991;Basel;M;Côte d'Ivoire;1;1991;Matthäus;17
31. Dezember 1991;Basel;M;Frankreich;47;1991;Matthäus;17
31. Dezember 1991;Basel;M;Jordanien;3;1991;Matthäus;17
31. Dezember 1991;Basel;M;Malta;1;1991;Matthäus;17
31. Dezember 1991;Basel;M;Peru;4;1991;Matthäus;17
31. Dezember 1991;Basel;W;Kuba;2;1991;Matthäus;17
31. Dezember 1991;Basel;W;Norwegen;1;1991;Matthäus;17
31. Dezember 1990;Basel;M;Frankreich;45;1990;Matthäus;17
31. Dezember 1990;Basel;M;Irland;3;1990;Matthäus;17
31. Dezember 1990;Basel;M;Luxemburg;1;1990;Matthäus;17
31. Dezember 1990;Basel;M;Marokko;6;1990;Matthäus;17
31. Dezember 1990;Basel;M;Rumänien;5;1990;Matthäus;17
31. Dezember 1990;Basel;M;Spanien;441;1990;Matthäus;17
31. Dezember 1990;Basel;M;Staat unbekannt oder nicht angegeben;1;1990;Matthäus;17
31. Dezember 1990;Basel;M;Ägypten;2;1990;Matthäus;17
31. Dezember 1990;Basel;W;Cabo Verde;3;1990;Matthäus;17
31. Dezember 1990;Basel;W;China;12;1990;Matthäus;17
31. Dezember 1990;Basel;W;Israel;1;1990;Matthäus;17
31. Dezember 1996;Basel;M;Thailand;9;1996;Matthäus;17
31. Dezember 1996;Basel;M;Tschad;1;1996;Matthäus;17
31. Dezember 1996;Basel;M;Tschechoslowakei;3;1996;Matthäus;17
31. Dezember 1996;Basel;M;Union der Sozialistischen Sowjetrepu;2;1996;Matthäus;17
31. Dezember 1996;Basel;W;Jamaika;5;1996;Matthäus;17
31. Dezember 1996;Basel;W;Kroatien;166;1996;Matthäus;17
31. Dezember 1996;Basel;W;Ungarn;6;1996;Matthäus;17
31. Dezember 2008;Basel;W;Jordanien;2;2008;Matthäus;17
31. Dezember 2008;Basel;W;Singapur;3;2008;Matthäus;17
31. Dezember 2008;Basel;W;Slowakei;21;2008;Matthäus;17
31. Dezember 2008;Basel;W;Venezuela;7;2008;Matthäus;17
31. Dezember 2003;Basel;M;Finnland;4;2003;Matthäus;17
31. Dezember 2003;Basel;M;Indien;15;2003;Matthäus;17
31. Dezember 1980;Basel;M;Chile;5;1980;Matthäus;17
31. Dezember 1980;Basel;M;Finnland;1;1980;Matthäus;17
31. Dezember 1980;Basel;M;Libanon;2;1980;Matthäus;17
31. Dezember 1980;Basel;W;Kanada;2;1980;Matthäus;17
31. Dezember 1980;Basel;W;Türkei;133;1980;Matthäus;17
31. Dezember 1986;Basel;M;Australien;3;1986;Matthäus;17
31. Dezember 1986;Basel;W;Ägypten;1;1986;Matthäus;17
31. Dezember 1986;Basel;M;Israel;5;1986;Matthäus;17
31. Dezember 1986;Basel;M;Pakistan;10;1986;Matthäus;17
31. Dezember 1985;Basel;W;Israel;1;1985;Matthäus;17
31. Dezember 1985;Basel;W;Schweiz;5457;1985;Matthäus;17
31. Dezember 1996;Basel;M;Kenia;1;1996;Matthäus;17
31. Dezember 1996;Basel;M;China;9;1996;Matthäus;17
31. Dezember 1997;Basel;M;Afghanistan;1;1997;Matthäus;17
31. Dezember 1997;Basel;M;Belgien;2;1997;Matthäus;17
31. Dezember 1997;Basel;M;Bulgarien;2;1997;Matthäus;17
31. Dezember 1997;Basel;M;Cabo Verde;6;1997;Matthäus;17
31. Dezember 1997;Basel;M;Costa Rica;1;1997;Matthäus;17
31. Dezember 1997;Basel;M;Dominikanische Republik;6;1997;Matthäus;17
31. Dezember 1997;Basel;M;Indonesien;1;1997;Matthäus;17
31. Dezember 1997;Basel;M;Irak;2;1997;Matthäus;17
31. Dezember 1997;Basel;M;Kanada;10;1997;Matthäus;17
31. Dezember 1997;Basel;M;Kongo (Kinshasa);9;1997;Matthäus;17
31. Dezember 1997;Basel;M;Polen;2;1997;Matthäus;17
31. Dezember 1997;Basel;M;Portugal;143;1997;Matthäus;17
31. Dezember 1997;Basel;M;Russland;2;1997;Matthäus;17
31. Dezember 1997;Basel;M;Türkei;873;1997;Matthäus;17
31. Dezember 1997;Basel;W;Albanien;1;1997;Matthäus;17
31. Dezember 1997;Basel;W;Mexiko;3;1997;Matthäus;17
31. Dezember 1997;Basel;W;Nordmazedonien;189;1997;Matthäus;17
31. Dezember 1997;Basel;W;Schweden;3;1997;Matthäus;17
31. Dezember 1997;Basel;W;Vietnam;24;1997;Matthäus;17
31. Dezember 2022;Basel;M;Dänemark;5;2022;Matthäus;17
31. Dezember 2022;Basel;M;Gambia;8;2022;Matthäus;17
31. Dezember 2022;Basel;M;Ghana;3;2022;Matthäus;17
31. Dezember 2022;Basel;M;Island;3;2022;Matthäus;17
31. Dezember 2022;Basel;M;Polen;37;2022;Matthäus;17
31. Dezember 2022;Basel;M;Rumänien;37;2022;Matthäus;17
31. Dezember 2022;Basel;M;Schweiz;3785;2022;Matthäus;17
31. Dezember 2022;Basel;M;Slowakei;35;2022;Matthäus;17
31. Dezember 2022;Basel;M;Somalia;28;2022;Matthäus;17
